,pct_tl_open_L6M,pct_tl_closed_L6M,Tot_TL_closed_L12M,pct_tl_open_L12M,pct_tl_closed_L12M,Tot_Missed_Pmnt,CC_TL,Home_TL,PL_TL,Secured_TL,Unsecured_TL,Other_TL,time_since_recent_payment,max_recent_level_of_deliq,num_deliq_6_12mts,num_times_60p_dpd,num_std_12mts,num_sub,num_sub_6mts,num_sub_12mts,num_dbt,num_dbt_12mts,num_lss,recent_level_of_deliq,CC_enq_L12m,PL_enq_L12m,time_since_recent_enq,enq_L3m,NETMONTHLYINCOME,Time_With_Curr_Empr,CC_Flag,PL_Flag,pct_PL_enq_L6m_of_ever,pct_CC_enq_L6m_of_ever,HL_Flag,GL_Flag,MARITALSTATUS,EDUCATION,GENDER,last_prod_enq2,first_prod_enq2,Approved_Flag
47,0.0,0.0,0,0.333,0.0,0,0,0,1,1,2,1,113,0,0,0,22,0,0,0,0,0,0,0,0,1,241,0,28000,150,0,1,0.0,0.0,0,0,Married,GRADUATE,M,PL,PL,P2
48,0.0,0.0,0,1.0,0.0,0,0,0,0,1,2,0,74,0,0,0,7,0,0,0,0,0,0,0,0,1,51,1,20000,56,0,0,0.0,0.0,0,0,Single,12TH,M,ConsumerLoan,others,P2
49,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,614,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,51000,145,0,0,0.0,0.0,0,0,Single,12TH,M,ConsumerLoan,others,P2
50,0.0,0.556,5,0.333,0.556,0,0,0,1,1,8,2,54,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,20000,98,0,1,0.0,0.0,0,0,Married,12TH,F,others,others,P2
51,0.0,0.0,1,0.5,0.5,0,0,0,0,1,1,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,15000,41,0,0,0.0,0.0,0,0,Single,12TH,M,ConsumerLoan,others,P2
52,0.0,0.5,1,0.0,0.5,0,0,0,0,1,1,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,467,0,7000,102,0,0,0.0,0.0,0,0,Married,SSC,F,ConsumerLoan,others,P2
53,0.0,0.0,0,0.5,0.0,0,0,0,1,1,1,0,287,0,0,0,9,0,0,0,0,0,0,0,0,1,315,0,25000,66,0,1,0.0,0.0,0,0,Married,POST-GRADUATE,M,PL,others,P2
54,0.0,0.0,0,1.0,0.0,0,0,0,0,1,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,25000,27,0,0,0.0,0.0,0,0,Married,SSC,M,ConsumerLoan,others,P2
55,0.0,0.0,0,1.0,0.0,1,0,0,0,1,2,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,30000,65,0,0,0.0,0.0,0,0,Married,GRADUATE,F,ConsumerLoan,others,P2
56,0.0,1.0,1,0.0,1.0,0,0,0,0,1,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,811,0,20000,122,0,0,0.0,0.0,0,0,Married,GRADUATE,M,others,others,P2
57,0.0,0.0,0,0.0,0.0,0,0,0,0,2,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,20000,13,0,0,0.0,0.0,0,0,Married,GRADUATE,M,others,others,P2
58,1.0,0.0,0,1.0,0.0,0,0,0,0,0,1,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,20000,44,0,0,0.0,0.0,0,0,Single,SSC,M,ConsumerLoan,ConsumerLoan,P2
59,0.038,0.0,0,0.038,0.0,0,0,0,0,25,1,0,100,26,0,0,0,0,0,0,0,0,0,26,1,6,12,7,40900,129,0,0,0.667,0.5,1,0,Married,GRADUATE,M,ConsumerLoan,ConsumerLoan,P4
60,0.25,0.0,0,0.5,0.0,0,0,0,1,3,1,3,56,0,0,0,10,0,0,0,0,0,0,0,0,0,411,0,65000,181,0,1,0.0,0.0,0,0,Married,12TH,M,PL,HL,P1
61,0.5,0.0,0,1.0,0.0,0,0,0,0,2,0,0,22,2,0,0,0,0,0,0,0,0,0,2,0,0,1,1,20000,263,0,0,0.0,0.0,0,0,Married,SSC,F,others,ConsumerLoan,P2
62,0.0,0.0,0,0.667,0.0,0,0,0,0,0,3,1,35,0,0,0,1,5,0,0,0,0,0,0,0,0,322,0,20000,101,0,0,0.0,0.0,0,0,Married,GRADUATE,M,others,others,P1
63,0.3,0.2,2,0.8,0.2,2,0,0,0,0,10,1,56,0,0,0,0,0,0,0,0,0,0,0,1,0,84,1,15500,64,0,0,0.0,1.0,0,0,Single,GRADUATE,M,ConsumerLoan,ConsumerLoan,P2
64,0.0,0.0,1,0.5,0.25,0,0,0,0,1,3,1,102,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,50000,54,0,0,0.0,0.0,0,0,Married,SSC,M,ConsumerLoan,others,P2
65,0.0,0.0,0,0.5,0.0,0,0,0,0,0,2,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,410,0,13000,42,0,0,0.0,0.0,0,0,Married,SSC,M,others,others,P2
66,0.333,0.0,0,0.333,0.0,0,1,0,0,1,2,0,73,8,2,0,0,0,0,0,0,0,0,8,0,2,169,0,20000,113,1,0,1.0,0.0,0,0,Married,GRADUATE,M,PL,others,P2
67,0.0,0.0,0,0.5,0.0,1,0,0,0,2,0,1,71,0,0,0,5,0,0,0,0,0,0,0,0,0,614,0,15000,47,0,0,0.0,0.0,0,0,Married,SSC,F,others,others,P2
68,0.0,0.0,0,1.0,0.0,0,0,0,0,1,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,19000,123,0,0,0.0,0.0,0,0,Married,SSC,M,others,others,P2
69,0.0,0.0,0,1.0,0.0,0,0,0,0,1,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,9000,33,0,0,0.0,0.0,0,0,Married,SSC,M,others,others,P2
70,0.0,0.0,0,0.0,0.0,0,0,0,0,0,2,1,233,0,0,0,0,0,0,0,0,0,0,0,0,0,418,0,14500,68,0,0,0.0,0.0,0,0,Single,12TH,M,others,others,P2
71,0.0,1.0,1,0.0,1.0,0,0,0,0,1,0,0,50,20,0,0,0,0,0,0,0,0,0,20,0,0,6,1,33000,306,0,0,0.0,0.0,0,0,Married,12TH,M,ConsumerLoan,others,P4
72,0.091,0.091,4,0.273,0.364,0,0,0,0,4,7,1,18,3,0,0,16,0,0,0,0,0,0,3,0,2,90,1,25000,42,0,0,0.5,0.0,0,0,Single,GRADUATE,M,others,others,P2
73,0.667,0.333,1,0.667,0.333,1,0,0,0,0,3,2,72,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,25000,128,0,0,0.0,0.0,0,0,Married,SSC,M,others,others,P2
74,0.0,0.0,0,0.0,0.0,0,0,0,3,2,3,0,63,92,0,1,0,0,0,0,0,0,0,92,0,0,7,1,43000,131,0,1,0.0,0.0,1,0,Married,GRADUATE,M,ConsumerLoan,PL,P4
75,0.5,0.0,0,0.75,0.0,1,0,0,0,1,3,3,93,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,20000,95,0,0,0.0,0.0,0,0,Married,12TH,M,others,ConsumerLoan,P2
76,0.5,0.5,1,0.5,0.5,1,0,0,2,0,2,0,370,0,0,0,12,0,0,0,0,0,0,0,0,1,114,0,12,306,0,1,0.333,0.0,0,0,Married,GRADUATE,M,PL,PL,P2
77,0.571,0.0,0,0.857,0.0,2,0,0,1,1,6,2,72,0,0,0,0,0,0,0,0,0,0,0,0,2,148,0,40000,130,0,1,0.0,0.0,0,0,Married,12TH,F,others,others,P2
78,0.0,0.0,0,0.0,0.0,0,0,0,1,1,3,0,296,25,0,4,0,0,0,0,0,0,0,25,0,0,1160,0,23000,181,0,1,0.0,0.0,0,0,Married,SSC,M,ConsumerLoan,others,P2
79,0.0,0.0,1,0.0,0.25,0,0,0,0,3,1,3,271,2,1,0,5,0,0,0,0,0,0,2,0,0,17,1,30000,101,0,0,0.0,0.0,1,0,Single,12TH,M,ConsumerLoan,others,P2
80,0.125,0.25,3,0.25,0.375,0,0,0,0,8,0,0,52,30,1,1,0,0,0,0,0,0,0,30,0,0,135,0,40000,110,0,0,0.0,0.0,0,0,Married,GRADUATE,M,AL,others,P2
81,0.13,0.13,4,0.261,0.174,2,0,0,1,19,4,16,20,58,1,0,41,0,0,0,0,0,0,58,0,0,4,6,35000,128,0,1,0.0,0.0,1,0,Married,GRADUATE,M,ConsumerLoan,ConsumerLoan,P2
82,0.375,0.0,0,0.75,0.0,3,0,0,1,1,7,2,75,0,0,0,0,0,0,0,0,0,0,0,0,2,73,2,25000,78,0,1,0.0,0.0,0,0,Married,GRADUATE,M,others,others,P1
83,0.0,0.0,0,0.0,0.0,0,0,0,0,6,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1248,0,38500,167,0,0,0.0,0.0,1,0,Married,UNDER GRADUATE,M,AL,AL,P2
84,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,705,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,34200,74,0,0,0.0,0.0,0,0,Single,GRADUATE,M,ConsumerLoan,others,P3
85,1.0,1.0,1,1.0,1.0,0,0,0,0,1,0,0,90,0,0,0,2,0,0,0,0,0,0,0,2,1,64,4,19000,107,0,0,1.0,1.0,1,0,Married,POST-GRADUATE,M,CC,others,P3
86,1.0,0.0,0,1.0,0.0,0,0,0,0,0,1,1,51,0,0,0,4,0,0,0,0,0,0,0,0,1,85,1,11500,65,0,0,1.0,0.0,0,0,Married,OTHERS,M,PL,others,P2
87,0.0,0.0,2,0.0,0.167,0,0,0,0,10,2,3,215,139,0,2,0,0,0,0,11,0,0,139,0,1,170,0,14300,29,0,0,0.0,0.0,1,0,Married,GRADUATE,M,ConsumerLoan,HL,P1
88,0.286,0.286,2,0.286,0.286,2,0,0,0,0,7,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,632,0,15000,66,0,0,0.0,0.0,0,0,Married,GRADUATE,M,ConsumerLoan,PL,P2
89,1.0,0.0,0,1.0,0.0,0,0,0,0,0,1,1,16,0,0,0,4,0,0,0,0,0,0,0,0,4,210,0,25000,100,0,0,0.0,0.0,0,0,Single,12TH,M,PL,PL,P2
90,0.0,0.0,0,0.0,0.0,0,0,0,0,0,1,1,1492,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,28000,126,0,0,0.0,0.0,0,0,Married,GRADUATE,M,others,others,P2
91,0.0,0.0,1,0.333,0.333,0,0,1,0,3,0,0,113,26,2,0,0,0,0,0,0,0,0,24,0,0,495,0,35000,61,0,0,0.0,0.0,0,1,Married,GRADUATE,M,AL,AL,P2
92,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,469,0,30000,150,0,0,0.0,0.0,0,0,Single,12TH,M,others,others,P2
93,0.125,0.0,0,0.375,0.0,1,0,0,1,4,4,0,57,60,0,0,0,0,0,0,0,0,0,60,0,3,57,2,15000,54,0,1,0.667,0.0,1,0,Married,GRADUATE,M,PL,AL,P3
94,0.714,0.571,4,1.0,0.571,0,1,0,3,3,4,2,49,0,0,0,1,0,0,0,0,0,0,0,2,3,6,7,23000,33,1,1,0.0,1.0,1,0,Single,12TH,M,ConsumerLoan,ConsumerLoan,P4
95,0.0,0.0,0,0.167,0.0,0,0,0,1,1,5,2,68,60,0,0,11,0,0,0,0,0,0,60,0,0,27,1,32000,107,0,1,0.0,0.0,0,0,Married,GRADUATE,M,ConsumerLoan,others,P3
96,0.222,0.0,2,0.333,0.222,0,0,0,0,1,8,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,15000,30,0,0,0.0,0.0,0,0,Married,12TH,M,ConsumerLoan,others,P2
97,0.0,0.0,0,1.0,0.0,0,0,0,0,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,25000,62,0,0,0.0,0.0,0,0,Married,SSC,M,others,others,P2
98,0.0,1.0,1,0.0,1.0,0,0,0,0,1,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,796,0,25000,180,0,0,0.0,0.0,0,0,Married,12TH,M,others,others,P2
99,0.5,0.0,0,1.0,0.0,0,0,0,0,1,1,0,61,0,0,0,7,0,0,0,0,0,0,0,0,1,2,1,27000,101,0,0,1.0,0.0,0,0,Married,OTHERS,M,others,others,P2
100,0.667,0.333,1,0.667,0.333,0,0,0,1,0,3,1,50,0,0,0,0,0,0,0,0,0,0,0,0,1,93,0,15000,246,0,1,1.0,0.0,0,0,Married,GRADUATE,M,ConsumerLoan,PL,P2
101,0.0,0.0,0,0.0,0.0,0,0,0,1,25,1,0,495,0,0,0,0,0,0,0,0,0,0,0,0,0,2388,0,21000,48,0,1,0.0,0.0,1,0,Married,GRADUATE,M,others,others,P1
102,0.333,0.5,3,0.5,0.5,1,0,0,0,0,6,1,47,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,28000,131,0,0,0.0,1.0,0,0,Married,GRADUATE,M,CC,ConsumerLoan,P2
103,0.5,0.0,0,1.0,0.0,1,0,0,0,2,0,0,43,0,0,0,2,0,0,0,0,0,0,0,0,0,285,0,28000,44,0,0,0.0,0.0,1,0,Single,UNDER GRADUATE,M,others,others,P2
104,0.0,0.0,0,1.0,0.0,0,0,0,0,0,2,0,38,23,0,0,0,0,0,0,0,0,0,23,1,0,3,1,17002,50,0,0,0.0,0.0,0,0,Married,UNDER GRADUATE,M,ConsumerLoan,AL,P3
105,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,922,180,0,1,0,0,0,0,0,0,0,180,0,1,298,0,20000,34,0,0,0.0,0.0,0,0,Married,UNDER GRADUATE,M,PL,others,P4
106,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,756,0,20000,94,0,0,0.0,0.0,0,0,Married,GRADUATE,M,others,others,P2
107,0.0,1.0,1,1.0,1.0,0,0,0,0,0,1,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,15500,78,0,0,0.0,0.0,0,0,Single,SSC,M,ConsumerLoan,ConsumerLoan,P2
108,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,417,0,17000,30,0,0,0.0,0.0,0,0,Married,SSC,M,others,others,P2
109,0.75,0.25,1,1.0,0.25,3,0,0,1,0,4,1,76,0,0,0,0,0,0,0,0,0,0,0,0,1,18,3,25000,43,0,1,1.0,0.0,0,0,Single,GRADUATE,M,others,ConsumerLoan,P4
110,1.0,0.0,0,1.0,0.0,1,0,0,0,0,2,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,27000,116,0,0,0.0,0.0,0,0,Married,12TH,M,ConsumerLoan,ConsumerLoan,P4
111,0.286,0.286,2,0.429,0.286,1,1,0,1,4,3,1,39,0,0,0,10,0,0,0,0,0,0,0,0,0,54,2,50000,37,1,1,0.0,0.0,1,0,Single,GRADUATE,M,others,CC,P2
112,0.0,0.0,1,0.25,0.25,0,0,0,0,1,3,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1,30000,94,0,0,0.0,0.0,0,0,Married,SSC,M,ConsumerLoan,others,P2
113,0.333,0.0,1,0.667,0.167,2,0,0,1,1,5,1,31,7,0,0,0,0,0,0,0,0,0,7,0,5,2,8,25000,56,0,1,0.8,0.0,0,0,Single,12TH,M,ConsumerLoan,others,P4
114,0.2,0.0,1,0.8,0.2,0,0,0,0,5,0,0,31,0,0,0,21,0,0,0,0,0,0,0,0,0,2,2,12000,70,0,0,0.0,0.0,1,0,Single,12TH,M,ConsumerLoan,others,P2
115,1.0,0.0,0,1.0,0.0,0,0,0,0,0,1,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,15000,128,0,0,0.0,0.0,0,0,Married,SSC,M,others,others,P2
116,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,987,0,0,0,0,0,0,0,0,0,0,0,0,0,1596,0,15000,125,0,0,0.0,0.0,0,0,Single,GRADUATE,M,others,others,P2
117,0.0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,597,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,0,9000,75,0,0,0.0,0.0,0,0,Married,12TH,M,others,others,P1
118,0.0,0.0,0,0.0,0.0,0,0,0,0,2,1,2,48,0,0,0,11,0,0,0,0,0,0,0,0,0,363,0,30000,191,0,0,0.0,0.0,0,0,Married,OTHERS,M,others,others,P1
119,0.333,0.083,3,0.667,0.25,0,0,0,0,3,9,2,19,20,0,0,0,0,0,0,0,0,0,20,1,4,18,3,24500,65,0,0,0.5,0.0,0,0,Married,UNDER GRADUATE,M,PL,others,P4
