PROSPECTID,Total_TL,Tot_Closed_TL,Tot_Active_TL,Total_TL_opened_L6M,Tot_TL_closed_L6M,pct_tl_open_L6M,pct_tl_closed_L6M,pct_active_tl,pct_closed_tl,Total_TL_opened_L12M,Tot_TL_closed_L12M,pct_tl_open_L12M,pct_tl_closed_L12M,Tot_Missed_Pmnt,Auto_TL,CC_TL,Consumer_TL,Gold_TL,Home_TL,PL_TL,Secured_TL,Unsecured_TL,Other_TL,Age_Oldest_TL,Age_Newest_TL,time_since_recent_payment,num_times_delinquent,max_recent_level_of_deliq,num_deliq_6mts,num_deliq_12mts,num_deliq_6_12mts,num_times_30p_dpd,num_times_60p_dpd,num_std,num_std_6mts,num_std_12mts,num_sub,num_sub_6mts,num_sub_12mts,num_dbt,num_dbt_6mts,num_dbt_12mts,num_lss,num_lss_6mts,num_lss_12mts,recent_level_of_deliq,tot_enq,CC_enq,CC_enq_L6m,CC_enq_L12m,PL_enq,PL_enq_L6m,PL_enq_L12m,time_since_recent_enq,enq_L12m,enq_L6m,enq_L3m,MARITALSTATUS,EDUCATION,AGE,GENDER,NETMONTHLYINCOME,Time_With_Curr_Empr,pct_of_active_TLs_ever,pct_opened_TLs_L6m_of_L12m,pct_currentBal_all_TL,CC_Flag,PL_Flag,pct_PL_enq_L6m_of_L12m,pct_CC_enq_L6m_of_L12m,pct_PL_enq_L6m_of_ever,pct_CC_enq_L6m_of_ever,HL_Flag,GL_Flag,last_prod_enq2,first_prod_enq2,Credit_Score,Approved_Flag
37,7,1,6,3,1,0.429,0.143,0.857,0.143,5,1,0.714,0.143,0,1,2,3,0,0,1,1,6,0,41,4,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,3,3,6,5,6,3,13,9,3,Married,GRADUATE,30,F,25000,62,0.857,0.6,0.81,1,1,0.833,1.0,0.833,1.0,0,0,PL,others,678,P2
38,11,8,3,0,0,0.0,0.0,0.273,0.727,1,0,0.091,0.0,0,0,0,0,6,0,0,6,5,5,73,11,341,0,0,0,0,0,0,0,26,5,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,53,1,1,1,Married,OTHERS,38,M,55000,231,0.273,0.0,1.0,0,0,0.0,0.0,0.0,0.0,1,0,ConsumerLoan,ConsumerLoan,705,P1
39,1,1,0,0,0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,0,1,0,0,0,0,0,1,0,0,45,45,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,5,5,5,Married,12TH,57,M,40000,130,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,ConsumerLoan,others,657,P4
40,2,2,0,0,1,0.0,0.5,0.0,1.0,0,1,0.0,0.5,0,1,0,0,0,0,1,1,1,0,32,27,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,821,0,0,0,Married,SSC,48,M,25000,300,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0,0,others,others,693,P2
42,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,10,10,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,2,2,79,3,2,1,Married,GRADUATE,31,M,15000,125,1.0,0.0,0.0,0,0,1.0,0.0,1.0,0.0,0,0,PL,others,663,P3
44,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,49,49,875,4,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,0,0,0,0,0,0,1481,0,0,0,Married,12TH,52,M,13000,244,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,others,others,662,P3
45,5,3,2,0,0,0.0,0.0,0.4,0.6,1,0,0.2,0.0,0,0,0,2,0,0,0,0,5,3,33,12,53,4,4,0,0,0,2,0,25,4,10,0,0,0,0,0,0,0,0,0,4,6,0,0,0,1,0,0,1,3,3,2,Married,POST-GRADUATE,31,M,45000,181,0.4,0.0,0.583,0,0,0.0,0.0,0.0,0.0,0,0,ConsumerLoan,ConsumerLoan,659,P3
46,12,7,5,7,4,0.583,0.333,0.417,0.583,10,5,0.833,0.417,3,2,1,2,0,0,7,2,10,0,48,2,80,1,9,0,0,0,0,0,6,5,6,0,0,0,0,0,0,0,0,0,9,23,1,1,1,13,8,13,49,18,9,5,Married,GRADUATE,25,M,20000,70,0.417,0.7,0.904,1,1,0.615,1.0,0.615,1.0,0,0,CC,others,651,P4
47,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,8,8,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,232,2,0,0,Married,12TH,51,M,12000,191,1.0,0.0,0.3,0,0,0.0,0.0,0.0,0.0,0,0,PL,others,679,P2
48,2,1,1,0,1,0.0,0.5,0.5,0.5,1,1,0.5,0.5,0,0,0,2,0,0,0,0,2,0,18,7,40,2,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,64,6,5,4,Married,UNDER GRADUATE,25,F,18000,105,0.5,0.0,0.677,0,0,0.0,0.0,0.0,0.0,0,0,ConsumerLoan,ConsumerLoan,655,P4
49,7,3,4,5,2,0.714,0.286,0.571,0.429,5,2,0.714,0.286,2,0,0,0,0,0,2,4,3,5,60,2,83,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,8,1,1,1,5,5,5,1,8,8,3,Married,UNDER GRADUATE,24,M,18000,25,0.571,1.0,1.491,0,1,1.0,1.0,1.0,1.0,0,0,ConsumerLoan,PL,664,P3
50,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,14,14,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,422,0,0,0,Single,UNDER GRADUATE,26,M,17000,50,1.0,0.0,0.55,0,0,0.0,0.0,0.0,0.0,0,0,others,others,691,P2
51,4,0,4,2,0,0.5,0.0,1.0,0.0,2,0,0.5,0.0,1,1,0,0,0,0,0,1,3,3,83,5,64,5,478,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,478,5,0,0,0,1,1,1,9,3,3,2,Married,12TH,33,M,25000,182,1.0,1.0,0.149,0,0,1.0,0.0,1.0,0.0,0,0,ConsumerLoan,others,671,P2
52,2,1,1,1,0,0.5,0.0,0.5,0.5,1,0,0.5,0.0,1,1,0,0,0,0,0,2,0,1,59,3,1084,5,90,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,90,3,0,0,0,0,0,0,83,3,3,2,Married,GRADUATE,34,M,30000,190,0.5,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0,0,others,others,660,P3
53,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,44,44,518,4,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,1344,0,0,0,Single,SSC,27,M,16000,13,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,others,others,660,P3
54,3,2,1,2,2,0.667,0.667,0.333,0.667,2,2,0.667,0.667,0,1,0,1,0,0,1,1,2,0,16,4,81,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,4,4,17,6,6,2,Single,GRADUATE,23,M,15000,30,0.333,1.0,0.8,0,1,1.0,0.0,1.0,0.0,0,0,ConsumerLoan,others,655,P4
55,5,1,4,3,0,0.6,0.0,0.8,0.2,3,0,0.6,0.0,1,0,0,2,0,0,2,0,5,1,24,5,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,3,3,19,8,8,4,Single,UNDER GRADUATE,34,M,35000,110,0.8,1.0,0.624,0,1,1.0,0.0,0.75,0.0,0,0,PL,ConsumerLoan,654,P4
56,2,0,2,0,0,0.0,0.0,1.0,0.0,2,0,1.0,0.0,0,0,0,0,0,0,2,0,2,0,9,8,46,0,0,0,0,0,0,0,15,8,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,263,1,0,0,Married,12TH,53,M,20000,122,1.0,0.0,0.888,0,1,0.0,0.0,0.0,0.0,0,0,PL,PL,690,P2
58,9,7,2,1,1,0.111,0.111,0.222,0.778,4,2,0.444,0.222,0,0,0,3,0,0,0,0,9,6,42,6,84,1,16,0,0,0,0,0,19,0,6,0,0,0,0,0,0,0,0,0,16,4,0,0,0,1,0,1,184,3,0,0,Single,UNDER GRADUATE,28,F,10000,37,0.222,0.25,0.268,0,0,0.0,0.0,0.0,0.0,0,0,PL,ConsumerLoan,673,P2
59,3,0,3,0,0,0.0,0.0,1.0,0.0,1,0,0.333,0.0,0,0,0,1,0,0,1,1,2,1,24,8,113,0,0,0,0,0,0,0,38,10,22,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,1,241,1,0,0,Married,GRADUATE,43,M,28000,150,1.0,0.0,0.721,0,1,0.0,0.0,0.0,0.0,0,0,PL,PL,694,P2
60,3,0,3,0,0,0.0,0.0,1.0,0.0,3,0,1.0,0.0,0,1,0,2,0,0,0,1,2,0,11,8,74,0,0,0,0,0,0,0,7,4,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,51,4,1,1,Single,12TH,26,M,20000,56,1.0,0.0,0.551,0,0,0.0,0.0,0.0,0.0,0,0,ConsumerLoan,others,675,P2
61,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,40,40,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1,1,1,Single,12TH,30,M,51000,145,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,ConsumerLoan,others,670,P2
62,9,6,3,0,5,0.0,0.556,0.333,0.667,3,5,0.333,0.556,0,1,0,5,0,0,1,1,8,2,39,9,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,267,1,0,0,Married,12TH,32,F,20000,98,0.333,0.0,0.504,0,1,0.0,0.0,0.0,0.0,0,0,others,others,684,P2
63,2,1,1,0,0,0.0,0.0,0.5,0.5,1,1,0.5,0.5,0,1,0,1,0,0,0,1,1,0,33,9,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,272,1,0,0,Single,12TH,35,M,15000,41,0.5,0.0,0.391,0,0,0.0,0.0,0.0,0.0,0,0,ConsumerLoan,others,687,P2
64,2,1,1,0,1,0.0,0.5,0.5,0.5,0,1,0.0,0.5,0,1,0,1,0,0,0,1,1,0,24,16,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,467,0,0,0,Married,SSC,38,F,7000,102,0.5,0.0,0.016,0,0,0.0,0.0,0.0,0.0,0,0,ConsumerLoan,others,684,P2
65,2,1,1,0,0,0.0,0.0,0.5,0.5,1,0,0.5,0.0,0,1,0,0,0,0,1,1,1,0,40,10,287,0,0,0,0,0,0,0,9,5,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,315,1,0,0,Married,POST-GRADUATE,30,M,25000,66,0.5,0.0,0.912,0,1,0.0,0.0,0.0,0.0,0,0,PL,others,697,P2
66,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,7,7,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,2,2,2,Married,SSC,28,M,25000,27,1.0,0.0,1.338,0,0,0.0,0.0,0.0,0.0,0,0,ConsumerLoan,others,672,P2
67,3,0,3,0,0,0.0,0.0,1.0,0.0,3,0,1.0,0.0,1,1,0,1,0,0,0,1,2,1,12,11,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,2,1,1,Married,GRADUATE,34,F,30000,65,1.0,0.0,0.592,0,0,0.0,0.0,0.0,0.0,0,0,ConsumerLoan,others,673,P2
68,1,1,0,0,1,0.0,1.0,0.0,1.0,0,1,0.0,1.0,0,1,0,0,0,0,0,1,0,0,27,27,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,811,0,0,0,Married,GRADUATE,47,M,20000,122,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,others,others,688,P2
69,2,1,1,0,0,0.0,0.0,0.5,0.5,0,0,0.0,0.0,0,2,0,0,0,0,0,2,0,0,70,13,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,35,1,1,1,Married,GRADUATE,29,M,20000,13,0.5,0.0,0.758,0,0,0.0,0.0,0.0,0.0,0,0,others,others,695,P2
70,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,6,6,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,181,2,2,0,Single,SSC,32,M,20000,44,1.0,1.0,0.333,0,0,0.0,0.0,0.0,0.0,0,0,ConsumerLoan,ConsumerLoan,686,P2
71,26,22,4,1,0,0.038,0.0,0.154,0.846,1,0,0.038,0.0,0,0,0,1,25,0,0,25,1,0,59,5,100,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,15,2,1,1,6,4,6,12,12,9,7,Married,GRADUATE,31,M,40900,129,0.154,1.0,0.037,0,0,0.667,1.0,0.667,0.5,1,0,ConsumerLoan,ConsumerLoan,618,P4
72,4,0,4,1,0,0.25,0.0,1.0,0.0,2,0,0.5,0.0,0,0,0,0,0,0,1,3,1,3,76,3,56,0,0,0,0,0,0,0,21,4,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,411,0,0,0,Married,12TH,41,M,65000,181,1.0,0.5,0.92,0,1,0.0,0.0,0.0,0.0,0,0,PL,HL,707,P1
73,2,0,2,1,0,0.5,0.0,1.0,0.0,2,0,1.0,0.0,0,2,0,0,0,0,0,2,0,0,7,4,22,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,1,6,6,1,Married,SSC,45,F,20000,263,1.0,0.5,0.95,0,0,0.0,0.0,0.0,0.0,0,0,others,ConsumerLoan,678,P2
75,3,0,3,0,0,0.0,0.0,1.0,0.0,2,0,0.667,0.0,0,0,0,2,0,0,0,0,3,1,115,7,35,0,0,0,0,0,0,0,4,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,322,1,0,0,Married,GRADUATE,26,M,20000,101,1.0,0.0,0.298,0,0,0.0,0.0,0.0,0.0,0,0,others,others,710,P1
